"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"693",69847,304875,359636,862910,966483,1140461,1255215,1328378,NA,NA
"694",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695",24577,545374,780723,NA,NA,NA,NA,NA,NA,NA
"696",805739,1035081,NA,NA,NA,NA,NA,NA,NA,NA
"697",876159,1001193,1022712,1426630,NA,NA,NA,NA,NA,NA
"698",554884,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700",804964,860878,NA,NA,NA,NA,NA,NA,NA,NA
"701",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702",90175,696123,NA,NA,NA,NA,NA,NA,NA,NA
"703",90838,121798,494783,580014,609492,1217606,NA,NA,NA,NA
"704",180636,510843,1066828,NA,NA,NA,NA,NA,NA,NA
"705",1035376,1463343,NA,NA,NA,NA,NA,NA,NA,NA
"706",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707",79669,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709",197464,425602,437286,478548,678913,849599,NA,NA,NA,NA
"710",142760,161992,667427,1301297,NA,NA,NA,NA,NA,NA
"711",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",522526,542174,NA,NA,NA,NA,NA,NA,NA,NA
"715",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717",175429,526772,555985,1217717,1226144,1361884,NA,NA,NA,NA
"718",811266,1055248,1478106,NA,NA,NA,NA,NA,NA,NA
"719",131408,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",393383,827693,1242768,1248541,NA,NA,NA,NA,NA,NA
"721",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",79169,727607,NA,NA,NA,NA,NA,NA,NA,NA
"724",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",396773,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726",134593,373544,763046,1074485,NA,NA,NA,NA,NA,NA
"727",175189,542436,651503,1223916,1259300,NA,NA,NA,NA,NA
