"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"376",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",966884,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",691654,1358146,1418843,NA,NA,NA,NA,NA,NA,NA
"380",150424,729228,NA,NA,NA,NA,NA,NA,NA,NA
"381",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",331451,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383",897967,965648,NA,NA,NA,NA,NA,NA,NA,NA
"384",323486,755848,783944,923351,1171580,NA,NA,NA,NA,NA
"385",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",869151,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",644074,1082703,NA,NA,NA,NA,NA,NA,NA,NA
"388",129965,424838,NA,NA,NA,NA,NA,NA,NA,NA
"389",995599,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",1041715,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",116162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",244706,321977,661332,812938,881376,1155008,1332168,NA,NA,NA
"394",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",48062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",1112245,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",614295,1132354,NA,NA,NA,NA,NA,NA,NA,NA
"402",260008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",1318,141730,189717,210102,711835,1135555,NA,NA,NA,NA
"406",957209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",17513,374678,487086,731848,NA,NA,NA,NA,NA,NA
"408",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",7512,587128,623976,1224770,1237363,NA,NA,NA,NA,NA
"412",809546,907058,1164459,NA,NA,NA,NA,NA,NA,NA
