"행정구역시도코드","자산총금액","종사자수_조사_총소계","산업대분류코드","주사업_산업중분류코드","주사업_산업소분류코드","주사업_산업세분류코드","주사업_산업세세분류코드"
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,1
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,2
11,,10,C,14,1,9,3
11,,10,C,14,1,9,3
11,,10,C,14,1,9,3
11,,10,C,14,1,9,3
11,,10,C,14,1,9,4
11,,10,C,14,1,9,9
11,,10,C,14,2,0,0
11,,10,C,14,2,0,0
11,,10,C,14,2,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,3,0,0
11,,10,C,14,4,1,9
11,,10,C,14,4,9,9
11,,10,C,15,1,2,1
11,,10,C,15,1,2,1
11,,10,C,15,1,2,1
11,,10,C,15,1,2,9
11,,10,C,15,2,1,1
11,,10,C,15,2,1,1
11,,10,C,15,2,1,1
11,,10,C,15,2,1,1
11,,10,C,15,2,1,1
11,,10,C,15,2,1,1
11,,10,C,15,2,1,1
11,,10,C,15,2,1,9
11,,**,C,16,2,9,2
11,,10,C,17,2,1,2
11,,10,C,17,2,1,2
11,,10,C,17,2,2,9
11,,10,C,17,2,2,9
11,,10,C,17,9,0,1
11,,10,C,17,9,0,1
11,,10,C,17,9,0,9
11,,10,C,17,9,0,9
11,,10,C,18,1,1,1
11,,10,C,18,1,1,1
11,,10,C,18,1,1,1
11,,10,C,18,1,1,2
11,,10,C,18,1,1,2
11,,10,C,18,1,1,2
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,3
11,,10,C,18,1,1,9
11,,10,C,18,1,1,9
11,,10,C,18,1,1,9
11,,10,C,18,1,2,1
11,,10,C,18,1,2,2
11,,10,C,18,1,2,2
11,,10,C,18,1,2,2
11,,10,C,18,1,2,2
11,,10,C,18,1,2,9
11,,10,C,18,1,2,9
11,,10,C,20,2,0,2
11,,10,C,21,2,2,0
11,,10,C,22,1,9,9
11,,10,C,22,1,9,9
11,,10,C,22,2,3,1
11,,10,C,22,2,3,2
11,,10,C,22,2,4,9
11,,10,C,22,2,9,9
11,,10,C,23,1,1,9
11,,10,C,24,1,9,1
11,,10,C,24,1,9,1
11,,10,C,25,1,1,1
11,,**,C,25,9,1,2
11,,10,C,25,9,2,2
11,,10,C,25,9,2,2
11,,10,C,25,9,2,4
11,,10,C,25,9,2,9
11,,10,C,25,9,3,1
11,,10,C,25,9,3,1
11,,10,C,25,9,3,2
11,,10,C,25,9,3,4
11,,10,C,26,3,2,3
11,,10,C,26,4,2,1
11,,10,C,26,5,2,9
11,,10,C,27,1,9,1
11,,10,C,27,1,9,1
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,2
11,,10,C,27,1,9,9
11,,10,C,27,1,9,9
11,,10,C,28,1,2,1
11,,10,C,28,1,2,1
11,,10,C,28,1,2,2
11,,10,C,28,1,2,3
11,,10,C,28,3,0,2
11,,10,C,28,3,0,2
11,,**,C,28,4,2,1
11,,10,C,29,1,3,3
11,,**,C,29,1,4,1
11,,10,C,29,1,9,9
11,,10,C,29,1,9,9
11,,10,C,29,2,2,4
11,,10,C,29,2,5,0
11,,10,C,29,2,9,4
11,,10,C,29,2,9,4
11,,10,C,29,2,9,4
11,,10,C,29,2,9,4
11,,**,C,31,9,2,0
11,,**,C,32,0,2,1
11,,10,C,32,0,9,9
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,1,1,0
11,,10,C,33,9,2,0
11,,**,C,33,9,3,3
11,,10,C,33,9,9,1
