회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,지번주소,도로명주소,매출액,자산총계,직원총수,비고,재무,...16,번호,V1,조사기준년도,시군명,행정구역명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84경도,WGS84위도,산업대분류코드,산업대분류명,산업중분류명,산업소분류명,산업세분류명,산업세세분류명,산업세세분류코드
SGA솔루션즈,184230,소프트웨어 개발 및 공급업,보안솔루션,2013-12-20,12월,최영철,http://sgasol.kr,경기도,경기 의왕시 초평동 40-3,경기 의왕시 광진말로 54,54733280066,91846725203,108,"소규모기업에 해당되어 기업공시서식 작성기준에 따라 요약재무정보의 기재는 생략
연결재무제표 내용을 기재함",NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
기가레인,49080,전자부품 제조업,RF통신부품 및 반도체 장비,2013-12-19,12월,김현제,http://www.gigalane.com,경기도,경기 화성시 방교동 784-2,경기 화성시 동탄산단10길 61,39543000000,78452000000,186,NA,NA,NA,368,1278812,2021,화성시,경기도 화성시 동탄6동,경기도 화성시 방교동 784-2,경기도 화성시 동탄6동 동탄산단10길  61     ,18487,127.0938164,37.1807042,C,제조업(10~34),전기장비 제조업,절연선 및 케이블 제조업,절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업,28303
램테크놀러지,171010,기초 화학물질 제조업,"반도체 식각액, 박리액, 세정액 등",2013-11-18,12월,길준봉,http://www.ramtech.co.kr,경기도,경기 용인시 처인구 주북리 88-6,경기 용인시 처인구 양지면 주북로 285,38941439427,90748616559,99,NA,NA,NA,369,124985,2021,용인시,경기도 처인구 양지면,경기도 용인시 처인구 양지면 주북리 88-6,경기도 용인시 처인구 양지면 주북로  285- ,17159,127.2632677,37.24770587,M,"전문, 과학 및 기술 서비스업(70~73)",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부,71511
협진,138360,특수 목적용 기계 제조업,기계제조,2013-11-08,12월,김종서,http://www.hjfm.co.kr/,경기도,경기 시흥시 정왕동 2645-1,경기 시흥시 엠티브이28로 16,10281647279,52636932670,49,"기업공시서식 작성기준에 따른 소규모기업에(최근 사업연도말 별도 재무제표상 자산총액 1천억원 미만) 해당되어 '요약재무정보' 기재를 생략
재무제표 내용을 기재함",NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
해성옵틱스,76610,사진장비 및 광학기기 제조업,휴대폰용 렌즈모듈 및 카메라모듈,2013-11-06,12월,조 철,http://www.hso.co.kr,경기도,경기 화성시 봉담읍 수영리 11-2,경기 화성시 봉담읍 효행로184번길 66,26268054000,70389176000,40,NA,NA,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
내츄럴엔도텍,168330,자연과학 및 공학 연구개발업,"백수오 여성호르몬제, 백수오등복합추출물(원료)",2013-10-31,12월,김희도,http://www.naturalendo.com,경기도,경기 성남시 분당구 삼평동 610-1 씨즈타워 301호,경기 성남시 분당구 판교로255번길 58 씨즈타워 301호,16484428000,35420812000,70,NA,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
두산테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트,2013-10-22,12월,"김도원, 김윤건",http://www.tesna.co.kr,경기도,경기 평택시 모곡동 450-2,경기 평택시 산단로16번길 72 테스나,3.38652E+11,7.63115E+11,707,NA,NA,NA,373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
엘티씨,170920,기초 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액,2013-10-08,12월,최호성,http://www.l-tech.co.kr,경기도,경기 화성시 마도면 청원리 564-38,경기 화성시 마도면 청원산단8길 114,30459334611,1.51768E+11,114,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
엔에이치엔,181710,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도,경기 성남시 분당구 삼평동 629,경기 성남시 분당구 대왕판교로645번길 16 NHN,3.6951E+11,1.95868E+12,899,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KG에코솔루션,151860,기타 화학제품 제조업,"집단에너지(스팀), 산화동, 폐기물 소각",2013-07-24,12월,엄기민,http://www.kgets.co.kr,경기도,NA,NA,91695424000,7.67614E+11,29,경기도에 회사가 없음,NA,NA,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
큐러블,86460,자연과학 및 공학 연구개발업,유전체 분석 서비스,2013-07-01,12월,김승일,http://www.snp-genetics.com,경기도,경기 화성시 영천동 847-6 아너스카이 10층,경기 화성시 동탄대로23길 93 아너스카이 10층,212000000,25164000000,26,NA,NA,NA,377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
태양기계,116100,자동차 신품 부품 제조업,엔진부품,2013-07-01,12월,박창엽,http://www.sun-mc.co.kr,경기도,경기 화성시 팔탄면 창곡리 707,경기 화성시 팔탄면 푸른들판로 843-24,31604000000,42133000000,59,NA,NA,NA,378,966884,2021,화성시,경기도 화성시 팔탄면,경기도 화성시 팔탄면 창곡리 707,경기도 화성시 팔탄면 푸른들판로  843-24 ,18525,126.8846041,37.18063159,C,제조업(10~34),자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 엔진용 신품 부품 제조업,자동차 엔진용 신품 부품 제조업,30310
윈팩,97800,반도체 제조업,반도체 패키징 및 테스트,2013-03-07,12월,"최원, 신동호(각자대표이사)",http://www.winpac.co.kr,경기도,경기 용인시 처인구 백암면 가창리 351-25 윈팩,경기 용인시 처인구 백암면 청강가창로 50 윈팩,86205142343,1.49507E+11,394,NA,NA,NA,379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
한솔아이원스,114810,특수 목적용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조",2013-02-07,12월,박인래,http://www.hansoliones.com,경기도,경기 안성시 고삼면 가유리 777-1,경기 안성시 고삼면 안성대로 2061,1.23933E+11,2.209E+11,592,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
우리이앤엘,153490,반도체 제조업,LED 패키지,2013-02-05,12월,차기현,http://www.wooreeenl.co.kr,경기도,경기 안산시 단원구 성곡동 636-3,경기 안산시 단원구 성곡로 79,1.439E+11,1.3974E+11,95,NA,NA,NA,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
스킨앤스킨,159910,기타 화학제품 제조업,"화장품제조,마스크",2012-12-27,12월,권영원,http://www.skinnskin.co.kr,경기도,경기 파주시 문산읍 선유리 1380-4 C동,경기 파주시 문산읍 돈유2로 14-1,11221000000,26329000000,87,NA,NA,NA,382,331451,2021,파주시,경기도 파주시 문산읍,경기도 파주시 문산읍 선유리 1380-4,경기도 파주시 문산읍 돈유2로  14-1 ,10832,126.8053914,37.85868218,C,제조업(10~34),화학 물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업,20423
디젠스,113810,자동차 신품 부품 제조업,자동차용 소음기(머플러),2012-11-22,12월,이석우,http://www.dgenx.com,경기도,경기 시흥시 정왕동 1242-9,경기 시흥시 공단1대로27번길 38,79437000000,60957000000,158,NA,NA,NA,383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
한국타이어앤테크놀로지,161390,고무제품 제조업,타이어 제조,2012-10-04,12월,이수일,http://www.hankooktire.com,경기도,경기 성남시 분당구 삼평동 683,경기 성남시 분당구 판교로 286,3.02497E+12,6.56858E+12,6482,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
퓨처코어,151910,전자부품 제조업,"Blue Filter, IR Filter, Camera Module",2012-08-02,12월,김배성,http://www.nanosm.com,경기도,경기 수원시 영통구 원천동 627 6층 A615호,경기 수원시 영통구 신원로250번길 13 6층 A615호,28699185897,80186241436,65,NA,NA,NA,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
노블엠앤비,106520,사진장비 및 광학기기 제조업,차량용 카메라렌즈 및 프로젝션광학모듈렌즈,2012-07-13,12월,신봉석,http://www.noblemnb.co.kr,경기도,경기 용인시 처인구 남사읍 통삼리 634-1 1동,경기 용인시 처인구 남사읍 경기동로 21-11 1동,5290000000,12547000000,53,NA,NA,NA,386,869151,2021,용인시,경기도 처인구 남사읍,경기도 용인시 처인구 남사읍 통삼리 634-1,경기도 용인시 처인구 남사면 경기동로  21-11 ,17118,127.1307752,37.14904132,C,제조업(10~34),"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자 부품 제조업,표시장치 제조업,액정 표시장치 제조업,26211
비아트론,141000,특수 목적용 기계 제조업,AMOLED 등 제조장비,2012-05-04,12월,김 형 준,http://www.viatrontech.com,경기도,경기 수원시 권선구 고색동 1007,경기 수원시 권선구 산업로 155번길 139,24173626000,1.8425E+11,132,NA,NA,NA,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
